,name,url,api_url,api_type,status_code
181,data.seattle.gov,https://data.seattle.gov,https://data.seattle.gov,Socrata,200.0
182,data.somervillema.gov,https://data.somervillema.gov,https://data.somervillema.gov,Socrata,200.0
183,data.wa.gov,https://data.wa.gov,https://data.wa.gov,Socrata,200.0
184,data.winnipeg.ca,https://data.winnipeg.ca,https://data.winnipeg.ca,Socrata,200.0
185,datacatalog.cookcountyil.gov,https://datacatalog.cookcountyil.gov,https://datacatalog.cookcountyil.gov,Socrata,200.0
186,opendata.rubi.cat,https://opendata.rubi.cat,https://opendata.rubi.cat,Socrata,200.0
187,performance.westsussex.gov.uk,https://performance.westsussex.gov.uk,https://performance.westsussex.gov.uk,Socrata,200.0
188,rdw.azure-westeurope-prod.socrata.com,https://rdw.azure-westeurope-prod.socrata.com,https://rdw.azure-westeurope-prod.socrata.com,Socrata,200.0
189,performance.chattanooga.gov,https://www.chattadata.org,https://www.chattadata.org,Socrata,200.0
190,oppnadata.se,https://oppnadata.se,https://registrera.oppnadata.se/all.rdf,XMLDCAT,200.0
192,opendata.caceres.es,http://opendata.caceres.es,http://opendata.caceres.es/catalog.ttl,CKANDCAT,200.0
193,data.aberdeencity.gov.uk,https://data.aberdeencity.gov.uk,https://data.aberdeencity.gov.uk/catalog.ttl,CKANDCAT,200.0
194,data.cityofboston.gov,https://data.boston.gov,https://data.boston.gov/catalog.ttl,CKANDCAT,200.0
195,data.stadt-zuerich.ch,https://data.stadt-zuerich.ch,https://data.stadt-zuerich.ch/catalog.ttl,CKANDCAT,200.0
196,datos.alcobendas.org,https://datos.alcobendas.org,https://datos.alcobendas.org/catalog.ttl,CKANDCAT,200.0
197,datosabiertos.ayto-arganda.es,https://datosabiertos.ayto-arganda.es,https://datosabiertos.ayto-arganda.es/catalog.ttl,CKANDCAT,200.0
198,datosabiertos.rivasciudad.es,https://datosabiertos.rivasciudad.es,https://datosabiertos.rivasciudad.es/catalog.ttl,CKANDCAT,200.0
199,opendata.swiss,https://opendata.swiss,https://opendata.swiss/catalog.ttl,CKANDCAT,200.0
200,data.humdata.org,https://data.humdata.org,https://data.humdata.org/catalog.ttl,CKANDCAT,200.0
201,transparenz.hamburg.de,http://suche.transparenz.hamburg.de,http://suche.transparenz.hamburg.de/catalog.ttl,CKANDCAT,200.0
