domain,count,url,status_code
mydata.iowa.gov,1587,https://mydata.iowa.gov/login,200
data.coloradosprings.gov,58,https://data.coloradosprings.gov/,200
clatsop.data.socrata.com,7,https://clatsop.data.socrata.com/,200
noaa-fisheries.data.socrata.com,3,https://noaa-fisheries.data.socrata.com/,200
controllerdata.lacity.org,588,https://lacontroller.org/controlpanel-la/,200
data.sandiegocounty.gov,35,https://www.sandiegocounty.gov/content/sdc/data.html,200
fortlauderdale.data.socrata.com,194,https://fortlauderdale.data.socrata.com/,200
austin-metro.demo.socrata.com,64,https://austin-metro.demo.socrata.com/,200
noaa-fisheries-swfsc.data.socrata.com,134,https://noaa-fisheries-swfsc.data.socrata.com/,200
hagerstownmd.data.socrata.com,4,https://hagerstownmd.data.socrata.com/,200
data.oce.pr.gov,73,https://data.oce.pr.gov/,200
casagrandeaz.data.socrata.com,3,https://casagrandeaz.data.socrata.com/,200
data.healthcare.gov,294,https://data.healthcare.gov/,200
opennassau.nassaucountyny.gov,114,https://opennassau.nassaucountyny.gov/,200
cookcounty.data.socrata.com,111,https://cookcounty.data.socrata.com/login,200
data.framinghamma.gov,46,https://data.framinghamma.gov/,200
mobileal.data.socrata.com,3,https://mobileal.data.socrata.com/,200
laramiecounty.data.socrata.com,5,https://laramiecounty.data.socrata.com/,200
midashboard-staging.demo.socrata.com,8,https://midashboard-staging.demo.socrata.com/,200
data.kingcounty.gov,543,https://data.kingcounty.gov/,200
data.nj.gov,498,https://data.nj.gov/,200
healthstat.dph.sbcounty.gov,227,https://healthstat.dph.sbcounty.gov/,200
data.vermont.gov,267,https://data.vermont.gov/,200
data.cityofnewyork.us,3089,https://opendata.cityofnewyork.us/,200
pip.nashville.gov,0,http://pip.nashville.gov,0
checkbooknyc.socrata.com,37,https://checkbooknyc.socrata.com/,200
data.lacity.org,1645,https://data.lacity.org/,200
austin-energy.data.socrata.com,8,https://austin-energy.data.socrata.com/login,200
kingcounty-op-beta.demo.socrata.com,0,https://kingcounty-op-beta.demo.socrata.com/,200
data.douglas.co.us,13,https://data.douglas.co.us/,200
opendata.clermontauditor.org,32,https://opendata.clermontauditor.org/login,200
